Volcano Name,Latitude,Longitude
Niigata-Yakeyama,36.921,138.036
Myokosan,36.891,138.114
Asamayama,36.406,138.523
Kusatsu-Shiranesan,36.618,138.528
Shiga,36.688,138.519
Harunasan,36.477,138.851
Akagisan,36.56,139.193
Hiuchigatake,36.955,139.285
Nikko-Shiranesan,36.799,139.376
Nantaisan,36.765,139.491
Omanago Group,36.8067,139.4756
Takaharayama,36.9,139.777
Nasudake,37.125,139.963
Numazawa,37.444,139.566
Bandaisan,37.601,140.072
Adatarayama,37.647,140.281
Azumayama,37.735,140.244
Zaozan [Zaosan],38.144,140.44
Hijiori,38.5992,140.1617
Naruko,38.729,140.734
Kurikomayama,38.961,140.788
Chokaisan,39.099,140.049
Akita-Komagatake,39.761,140.799
Iwatesan,39.853,141.001
Hachimantai,39.958,140.854
Akita-Yakeyama,39.964,140.757
Megata,39.95,139.725
Iwakisan,40.656,140.303
Towada,40.51,140.88
Hakkodasan,40.659,140.877
Osorezan,41.279,141.12
Izu-Oshima,34.724,139.394
Toshima,34.52,139.279
Niijima,34.397,139.27
Kozushima,34.219,139.153
Miyakejima,34.094,139.526
Mikurajima,33.874,139.602
Kurose Hole,33.4,139.68
Hachijojima,33.137,139.766
Aogashima,32.458,139.759
Kita-Bayonnaise,32.1,139.85
Myojinsho,31.888,139.918
Sumisujima,31.44,140.051
Izu-Torishima,30.484,140.303
Sofugan,29.794,140.342
Suiyo Seamount,28.575,140.633
Mokuyo Seamount,28.327,140.572
Doyo Seamount,27.68,140.8
Nishinoshima,27.247,140.874
Kaikata Seamount,26.667,140.929
Kaitoku Seamount,26.1217,141.0955
Kita-Ioto,25.424,141.284
Ioto,24.751,141.289
Kita-Fukutokutai,24.417,141.417
Fukutoku-Oka-no-Ba,24.285,141.481
Minami-Hiyoshi,23.5,141.935
Nikko,23.078,142.326
Fukujin,21.93,143.47
Kasuga 1,21.765,143.71
Kasuga 2,21.6,143.637
NW Eifuku,21.485,144.043
Daikoku,21.324,144.194
Farallon de Pajaros,20.546,144.893
Ahyi,20.42,145.03
Supply Reef,20.13,145.1
Maug Islands,20.02,145.22
Asuncion,19.671,145.406
Agrigan,18.77,145.67
Pagan,18.13,145.8
Alamagan,17.6,145.83
Guguan,17.3137,145.84
Zealandia Bank,16.88,145.85
Sarigan,16.708,145.78
South Sarigan Seamount,16.58,145.78
Anatahan,16.35,145.67
East Diamante,15.93,145.67
Ruby,15.605,145.572
Esmeralda Bank,14.958,145.249
NW Rota-1,14.601,144.775
Forecast Seamount,13.4,143.92
Seamount X,13.25,144.02
Mariana Back-Arc Segment at 15.5°N,15.406,144.506
Oshima-Oshima,41.51,139.367
Esan,41.805,141.166
Hokkaido-Komagatake,42.063,140.677
Toya,42.544,140.839
Niseko,42.875,140.659
Yoteizan,42.827,140.812
Kuttara,42.491,141.16
Shikotsu,42.688,141.38
Rishirizan,45.179,141.242
Tokachidake,43.418,142.686
Taisetsuzan,43.664,142.854
Maruyama,43.418,143.031
Akan,43.384,144.013
Kussharo,43.615,144.427
Mashu,43.572,144.561
Rausudake,44.076,145.122
Tenchozan,44.044,145.086
Shiretoko-Iozan,44.133,145.161
Tomariyama [Golovnin],43.844,145.504
Raususan [Mendeleev],43.979,145.733
Ruruidake [Smirnov],44.4541,146.1401
Chachadake [Tiatia],44.353,146.252
Berutarubesan [Berutarube],44.462,146.932
Moekeshiwan [Lvinaya Past],44.608,146.994
Etorofu-Atosanupuri [Atosanupuri],44.808,147.131
Hitokappu Volcano Group [Bogatyr Ridge],44.857,147.403
Unnamed,45.022,147.019
Etorofu-Yakeyama [Grozny Group],45.012,147.871
Odamoisan [Tebenkov],45.028,147.918
Sashiusudake [Baransky],45.1,148.019
Chirippusan [Chirip],45.338,147.92
Moyorodake [Medvezhia],45.389,148.838
Rakkibetsudake [Demon],45.5,148.85
Ivao Group,45.7593,149.6762
Rudakov,45.874,149.819
Tri Sestry,45.93,149.92
Kolokol Group,46.042,150.083
Chirpoi,46.532,150.871
Unnamed,46.47,151.28
Milna,46.815,151.786
Zavaritzki Caldera,46.9178,151.9518
Prevo Peak,47.0139,152.1167
Uratman,47.12,152.25
Ketoi,47.35,152.475
Ushishur,47.5125,152.8139
Srednii,47.5861,152.893
Rasshua,47.77,153.02
Sarychev Peak,48.092,153.2
Raikoke,48.292,153.25
Chirinkotan,48.98,153.48
Ekarma,48.958,153.93
Sinarka,48.873,154.182
Kharimkotan,49.12,154.508
Tao-Rusyr Caldera,49.34,154.725
Nemo Peak,49.57,154.808
Shirinki,50.2,154.98
Fuss Peak,50.267,155.246
Karpinsky Group,50.148,155.373
Chikurachki,50.324,155.461
Vernadskii Ridge,50.55,155.97
Ebeko,50.686,156.014
Alaid,50.861,155.565
Kambalny,51.306,156.875
Koshelev,51.356,156.753
Yavinsky,51.533,156.629
Diky Greben,51.452,156.978
Kurile Lake,51.45,157.12
Iliinsky,51.498,157.203
Zheltovsky,51.577,157.328
Ksudach,51.8042,157.5292
Olkoviy Volcanic Group,52.02,157.53
Khodutka,52.062,157.711
Asacha,52.355,157.827
Visokiy,52.435,157.9332
Mutnovsky,52.449,158.196
Gorely,52.5549,158.0358
Opala,52.543,157.339
Tolmachev Dol,52.63,157.58
Vilyuchinsky,52.7,158.28
Barkhatnaya Sopka,52.802,158.24
Koryaksky,53.321,158.712
Avachinsky,53.256,158.836
Dzenzursky,53.637,158.922
Zhupanovsky,53.589,159.15
Veer,53.7525,158.4478
Kostakan,53.833,158.052
Bakening,53.905,158.07
Zavaritsky,53.905,158.385
Akademia Nauk,53.98,159.45
Karymsky,54.049,159.443
Maly Semyachik,54.135,159.674
Bolshoi Semiachik,54.32,160.02
Taunshits,54.528,159.804
Uzon,54.4885,159.9741
Kikhpinych,54.489,160.251
Krasheninnikov,54.596,160.27
Kronotsky,54.753,160.533
Gamchen,54.974,160.703
Komarov,55.033,160.725
Vysoky,55.064,160.765
Kizimen,55.131,160.32
Tolbachik,55.832,160.326
Udina,55.758,160.527
Zimina,55.862,160.603
Bezymianny,55.972,160.595
Kamen,56.02,160.593
Klyuchevskoy,56.056,160.642
Ushkovsky,56.113,160.509
Sheveluch,56.653,161.36
Piip,55.42,167.33
Khangar,54.761,157.407
Cherpuk Group,55.55,157.47
Ichinsky,55.678,157.718
Bolshoi-Kekuknaysky,56.483,157.917
Alney-Chashakondzha,56.656,159.647
Shisheika,57.153,161.09
Terpuk,57.2,159.83
Sedanka Lava Field,57.317,160.067
Gorny Institute,57.33,160.2
Kinenin,57.35,160.97
Bliznetsy,57.35,161.37
Titila,57.406,160.108
Elovsky,57.55,160.53
Nylgimelkin,57.97,160.65
Spokoiny,58.13,160.82
Ostry,58.18,160.82
Severny,58.28,160.87
Udokan Plateau,56.28,117.77
Vitim Volcanic Field,53.75,113.25
Tunkin Depression,51.5,102.5
Jom-Bolok,52.713,99.021
Azas Plateau,52.433,98.303
Taryatu-Chulutu,48.133,99.95
Khanuy Gol,48.67,102.75
Dariganga Volcanic Field,45.754,114.279
Ashikule Volcanic Field,35.742,81.646
Honggeertu,41.59,113.111
Arxan-Chaihe,47.45,120.8
Keluo Group,49.37,125.92
Wudalianchi,48.722,126.15
Jingpohu,44.08,128.83
Longgang Group,42.33,126.5
Changbaishan,41.98,128.08
Ch'uga-ryong,38.33,127.33
Ulleungdo,37.5,130.87
Halla,33.361,126.53
Buldir,52.35,175.911
Kiska,52.103,177.602
Segula,52.015,178.136
Davidof,51.97,178.33
Little Sitkin,51.95,178.543
Semisopochnoi,51.93,179.58
Gareloi,51.79,-178.794
Tanaga,51.885,-178.146
Takawangha,51.873,-178.006
Bobrof,51.91,-177.438
Kanaga,51.923,-177.168
Moffett,51.944,-176.747
Great Sitkin,52.076,-176.13
Kasatochi,52.177,-175.508
Koniuji,52.22,-175.13
Atka Volcanic Complex,52.331,-174.139
Seguam,52.315,-172.51
Amukta,52.5,-171.252
Chagulak,52.577,-171.13
Yunaska,52.6394,-170.6317
Herbert,52.742,-170.111
Carlisle,52.894,-170.054
Cleveland,52.825,-169.944
Tana,52.83,-169.77
Uliaga,53.065,-169.77
Kagamil,52.974,-169.72
Vsevidof,53.13,-168.693
Recheschnoi,53.157,-168.539
Okmok,53.43,-168.13
Bogoslof,53.93,-168.03
Makushin,53.891,-166.923
Akutan,54.134,-165.986
Westdahl,54.516,-164.65
Fisher,54.65,-164.43
Shishaldin,54.756,-163.97
Roundtop,54.8,-163.589
Amak,55.4184,-163.1472
Frosty,55.067,-162.835
Dutton,55.183,-162.276
Emmons Lake Volcanic Center,55.3519,-162.0445
Pavlof,55.417,-161.894
Pavlof Sister,55.457,-161.854
Dana,55.641,-161.214
Stepovak Bay Group,55.917,-160.017
Kupreanof,56.011,-159.797
Veniaminof,56.17,-159.38
Black Peak,56.552,-158.785
Aniakchak,56.88,-158.17
Yantarni,57.019,-157.185
Chiginagak,57.135,-156.99
Kialagvik,57.203,-156.745
Ugashik-Peulik,57.751,-156.368
Ukinrek Maars,57.8344,-156.5203
Unnamed,57.87,-155.411
Martin,58.172,-155.361
Mageik,58.195,-155.253
Trident,58.236,-155.1
Katmai,58.279,-154.9533
Novarupta,58.2655,-155.1588
Griggs,58.354,-155.092
Snowy Mountain,58.336,-154.682
Denison,58.418,-154.449
Steller,58.4298,-154.3895
Kukak,58.453,-154.355
Kaguyak,58.6113,-154.0245
Fourpeaked,58.77,-153.672
Douglas,58.855,-153.542
Augustine,59.3626,-153.435
Iliamna,60.032,-153.09
Redoubt,60.485,-152.742
Spurr,61.299,-152.251
Hayes,61.64,-152.411
St. Paul Island,57.167,-170.213
Ingakslugwat Hills,61.43,-164.47
St. Michael,63.45,-162.12
Imuruk Lake,65.517,-163.45
Buzzard Creek,64.0616,-148.4327
Wrangell,62.006,-144.017
Churchill,61.38,-141.75
Edgecumbe,57.05,-135.75
Duncan Canal,56.5,-133.1
Tlevak Strait-Suemez Island,55.25,-133.3
Behm Canal-Rudyerd Bay,55.35,-131
Fort Selkirk,62.93,-137.38
Alligator Lake,60.42,-135.42
Atlin Volcanic Field,59.708,-133.358
Tuya Volcanic Field,59.37,-130.58
Heart Peaks,58.6,-131.97
Level Mountain,58.42,-131.35
Edziza,57.72,-130.63
Spectrum Range,57.43,-130.68
Hoodoo Mountain,56.78,-131.28
Iskut-Unuk River Cones,56.567,-130.75
Tseax River Cone,55.1109,-128.8991
Crow Lagoon,54.7,-130.23
Milbanke Sound Group,52.498,-128.723
Nazko,52.928,-123.732
Wells Gray-Clearwater,52.0306,-120.1125
Silverthrone,51.5179,-126.1133
Bridge River Cones,50.8,-123.4
Meager,50.63,-123.5
Garibaldi Lake,49.933,-123
Garibaldi,49.85,-123
Cayley Volcanic Field,50.12,-123.28
Baker,48.777,-121.813
Glacier Peak,48.112,-121.113
Rainier,46.853,-121.76
Adams,46.206,-121.49
St. Helens,46.2,-122.18
West Crater,45.88,-122.08
Indian Heaven,45.93,-121.82
Hood,45.374,-121.695
Jefferson,44.674,-121.8
Blue Lake Crater,44.4125,-121.7686
Sand Mountain Field,44.38,-121.93
Belknap,44.285,-121.8423
Three Sisters,44.133,-121.767
Bachelor,43.979,-121.688
Davis Lake,43.57,-121.82
Newberry,43.722,-121.229
Devils Garden,43.512,-120.861
Cinnamon Butte,43.2411,-122.1111
Crater Lake,42.942,-122.107
Diamond Craters,43.1,-118.75
Jordan Craters,43.147,-117.46
Shasta,41.409,-122.193
Medicine Lake,41.611,-121.554
Lassen Volcanic Center,40.492,-121.508
Clear Lake Volcanic Field,38.97,-122.77
Mono Lake Volcanic Field,38,-119.03
Mono-Inyo Craters,37.804,-119.029
Mammoth Mountain,37.631,-119.032
Ubehebe Craters,37.02,-117.45
Salton Buttes,33.197,-115.616
Black Butte Crater Lava Field,43.183,-114.352
Craters of the Moon,43.371,-113.493
Wapi Lava Field,42.8859,-113.2166
Hell's Half Acre,43.492,-112.4503
Soda Lakes,39.525,-118.8778
Markagunt Plateau,37.58,-112.67
Black Rock Desert,38.97,-112.5
Carrizozo,33.78,-105.93
Zuni-Bandera,34.8,-108
Red Hill-Quemado,34.25,-108.83
Dotsero,39.6613,-107.0355
Uinkaret Field,36.38,-113.13
San Francisco Volcanic Field,35.347,-111.678
West Valley Segment,48.78,-128.64
Endeavour Segment,47.95,-129.1
Cobb Segment,46.88,-129.33
CoAxial Segment,46.52,-129.58
Axial Seamount,45.95,-130
Cleft Segment,44.83,-130.3
North Gorda Ridge Segment,42.67,-126.78
Jackson Segment,42.15,-127.05
Escanaba Segment,40.98,-127.5
East Blanco Depression,44.267,-129.879
